original_row_index,generated_version,item_number,list_item,Full verb phrase,Causality,NP1,verb,NP2,because,pronoun,präposition,adjective + verb,and,NP final,verb final,Generated-Sentence,np2_replacement_status,NP1 - male,NP1 - female,NP2 - male,NP2 - female,verb_bias,Unnamed: 7,Unnamed: 18,Ferstl_verb_eng,Ferstl_sem_cat,Ferstl_eng_verb_length,Ferstl_eng_verb_freq,Ferstl_val,Ferstl_IVC,verb_bias.1,new verb,old verb,german_verb_freq,german_verb_length,Unnamed: 30,Previous-Sentences (04/2026),adj,german_adj_freq,german_adj_length,Susanne_avgRating_Score,Susanne_avgRating_Score.1,20_Best_Verbs,adj_amb
206,both_female,3,2,störte,NP1-Causality,Eva,störte,"Katharina,",weil,sie,am späten Nachmittag,aggressiv war,und ,Knurren,von sich gab,"Eva störte Katharina, weil sie am späten Nachmittag aggressiv war und Knurren von sich gab.",ok_prefix_keep_particle_or_punctuation,Peter,Eva,Sebastian,Katharina,NP1,,,annoyed,StimExp,7,268,-2,79,NP1,störte,störte,2.33,6,,"Der Bär störte die Löwin, weil er am späten Nachmittag aggressiv war und das Knurren ausstieß.",aggressiv,19.09,9,87.5,87.5,optimal,nonamb
206,swapped,4,2,störte,NP1-Causality,Eva,störte,"Sebastian,",weil,sie,am späten Nachmittag,aggressiv war,und ,Knurren,von sich gab,"Eva störte Sebastian, weil sie am späten Nachmittag aggressiv war und Knurren von sich gab.",ok_prefix_keep_particle_or_punctuation,Peter,Eva,Sebastian,Katharina,NP1,,,annoyed,StimExp,7,268,-2,79,NP1,störte,störte,2.33,6,,"Der Bär störte die Löwin, weil er am späten Nachmittag aggressiv war und das Knurren ausstieß.",aggressiv,19.09,9,87.5,87.5,optimal,nonamb
207,original,5,2,störte,NP2-Causality,Peter,störte,"Katharina,",weil,sie,am späten Nachmittag,erschöpft war,und ,Zittern,musste,"Peter störte Katharina, weil sie am späten Nachmittag erschöpft war und Zittern musste.",ok_prefix_keep_particle_or_punctuation,Peter,Eva,Sebastian,Katharina,NP1,,,annoyed,StimExp,7,268,-2,79,NP1,störte,störte,2.33,6,,"Der Bär störte die Löwin, weil sie am späten Nachmittag erschöpft war und Zittern musste.",erschöpft,10.12,9,87.5,87.5,optimal,nonamb
207,both_male,6,2,störte,NP2-Causality,Peter,störte,"Sebastian,",weil,er,am späten Nachmittag,erschöpft war,und ,Zittern,musste,"Peter störte Sebastian, weil er am späten Nachmittag erschöpft war und Zittern musste.",ok_prefix_keep_particle_or_punctuation,Peter,Eva,Sebastian,Katharina,NP1,,,annoyed,StimExp,7,268,-2,79,NP1,störte,störte,2.33,6,,"Der Bär störte die Löwin, weil sie am späten Nachmittag erschöpft war und Zittern musste.",erschöpft,10.12,9,87.5,87.5,optimal,nonamb
207,both_female,7,2,störte,NP2-Causality,Eva,störte,"Katharina,",weil,sie,am späten Nachmittag,erschöpft war,und ,Zittern,musste,"Eva störte Katharina, weil sie am späten Nachmittag erschöpft war und Zittern musste.",ok_prefix_keep_particle_or_punctuation,Peter,Eva,Sebastian,Katharina,NP1,,,annoyed,StimExp,7,268,-2,79,NP1,störte,störte,2.33,6,,"Der Bär störte die Löwin, weil sie am späten Nachmittag erschöpft war und Zittern musste.",erschöpft,10.12,9,87.5,87.5,optimal,nonamb
207,swapped,8,2,störte,NP2-Causality,Eva,störte,"Sebastian,",weil,er,am späten Nachmittag,erschöpft war,und ,Zittern,musste,"Eva störte Sebastian, weil er am späten Nachmittag erschöpft war und Zittern musste.",ok_prefix_keep_particle_or_punctuation,Peter,Eva,Sebastian,Katharina,NP1,,,annoyed,StimExp,7,268,-2,79,NP1,störte,störte,2.33,6,,"Der Bär störte die Löwin, weil sie am späten Nachmittag erschöpft war und Zittern musste.",erschöpft,10.12,9,87.5,87.5,optimal,nonamb
222,original,1,3,ärgerte,NP1-Causality,Michael,ärgerte,"Barbara,",weil ,er,um die Mittagszeit,aggressiv war,und ,Kratzer,hinterließ,"Michael ärgerte Barbara, weil er um die Mittagszeit aggressiv war und Kratzer hinterließ.",ok_prefix_keep_particle_or_punctuation,Michael,Nina,Stefan,Barbara,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil er um die Mittagszeit unüberhörbar war und das Scharren erzeugte.",unüberhörbar,0.94,12,56.25,56.25,suboptimal,nonamb
222,both_male,2,3,ärgerte,NP1-Causality,Michael,ärgerte,"Stefan,",weil ,er,um die Mittagszeit,aggressiv war,und ,Kratzer,hinterließ,"Michael ärgerte Stefan, weil er um die Mittagszeit aggressiv war und Kratzer hinterließ.",ok_prefix_keep_particle_or_punctuation,Michael,Nina,Stefan,Barbara,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil er um die Mittagszeit unüberhörbar war und das Scharren erzeugte.",unüberhörbar,0.94,12,56.25,56.25,suboptimal,nonamb
222,both_female,3,3,ärgerte,NP1-Causality,Nina,ärgerte,"Barbara,",weil ,sie,um die Mittagszeit,aggressiv war,und ,Kratzer,hinterließ,"Nina ärgerte Barbara, weil sie um die Mittagszeit aggressiv war und Kratzer hinterließ.",ok_prefix_keep_particle_or_punctuation,Michael,Nina,Stefan,Barbara,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil er um die Mittagszeit unüberhörbar war und das Scharren erzeugte.",unüberhörbar,0.94,12,56.25,56.25,suboptimal,nonamb
222,swapped,4,3,ärgerte,NP1-Causality,Nina,ärgerte,"Stefan,",weil ,sie,um die Mittagszeit,aggressiv war,und ,Kratzer,hinterließ,"Nina ärgerte Stefan, weil sie um die Mittagszeit aggressiv war und Kratzer hinterließ.",ok_prefix_keep_particle_or_punctuation,Michael,Nina,Stefan,Barbara,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil er um die Mittagszeit unüberhörbar war und das Scharren erzeugte.",unüberhörbar,0.94,12,56.25,56.25,suboptimal,nonamb
223,original,5,3,ärgerte,NP2-Causality,Michael,ärgerte,"Barbara,",weil ,sie,um die Mittagszeit,überdrüssig war,und ,Müdigkeit,empfand,"Michael ärgerte Barbara, weil sie um die Mittagszeit überdrüssig war und Müdigkeit empfand.",ok_prefix_keep_particle_or_punctuation,Michael,Nina,Stefan,Barbara,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil sie um die Mittagszeit überdrüssig war und Müdigkeit empfand.",überdrüssig,0.92,11,56.25,56.25,suboptimal,nonamb
223,both_male,6,3,ärgerte,NP2-Causality,Michael,ärgerte,"Stefan,",weil ,er,um die Mittagszeit,überdrüssig war,und ,Müdigkeit,empfand,"Michael ärgerte Stefan, weil er um die Mittagszeit überdrüssig war und Müdigkeit empfand.",ok_prefix_keep_particle_or_punctuation,Michael,Nina,Stefan,Barbara,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil sie um die Mittagszeit überdrüssig war und Müdigkeit empfand.",überdrüssig,0.92,11,56.25,56.25,suboptimal,nonamb
223,both_female,7,3,ärgerte,NP2-Causality,Nina,ärgerte,"Barbara,",weil ,sie,um die Mittagszeit,überdrüssig war,und ,Müdigkeit,empfand,"Nina ärgerte Barbara, weil sie um die Mittagszeit überdrüssig war und Müdigkeit empfand.",ok_prefix_keep_particle_or_punctuation,Michael,Nina,Stefan,Barbara,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil sie um die Mittagszeit überdrüssig war und Müdigkeit empfand.",überdrüssig,0.92,11,56.25,56.25,suboptimal,nonamb
223,swapped,8,3,ärgerte,NP2-Causality,Nina,ärgerte,"Stefan,",weil ,er,um die Mittagszeit,überdrüssig war,und ,Müdigkeit,empfand,"Nina ärgerte Stefan, weil er um die Mittagszeit überdrüssig war und Müdigkeit empfand.",ok_prefix_keep_particle_or_punctuation,Michael,Nina,Stefan,Barbara,NP1,,,angered,StimExp,7,11,-2.46,85,NP1,ärgerte,ärgerte,1.41,7,,"Der Schäferhund ärgerte die Besitzerin, weil sie um die Mittagszeit überdrüssig war und Müdigkeit empfand.",überdrüssig,0.92,11,56.25,56.25,suboptimal,nonamb
208,original,1,4,verärgerte,NP1-Causality,Martin,verärgerte,"Birgit,",weil,er,am frühen Abend,aufdringlich war,und,Hartnäckigkeit,zeigte,"Martin verärgerte Birgit, weil er am frühen Abend aufdringlich war und Hartnäckigkeit zeigte.",ok_prefix_keep_particle_or_punctuation,Martin,Renate,Tobias,Birgit,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende, weil er am frühen Abend aufdringlich war und die Hartnäckigkeit zeigte. ",aufdringlich,3.73,12,56.25,56.25,suboptimal,nonamb
208,both_male,2,4,verärgerte,NP1-Causality,Martin,verärgerte,"Tobias,",weil,er,am frühen Abend,aufdringlich war,und,Hartnäckigkeit,zeigte,"Martin verärgerte Tobias, weil er am frühen Abend aufdringlich war und Hartnäckigkeit zeigte.",ok_prefix_keep_particle_or_punctuation,Martin,Renate,Tobias,Birgit,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende, weil er am frühen Abend aufdringlich war und die Hartnäckigkeit zeigte. ",aufdringlich,3.73,12,56.25,56.25,suboptimal,nonamb
208,both_female,3,4,verärgerte,NP1-Causality,Renate,verärgerte,"Birgit,",weil,sie,am frühen Abend,aufdringlich war,und,Hartnäckigkeit,zeigte,"Renate verärgerte Birgit, weil sie am frühen Abend aufdringlich war und Hartnäckigkeit zeigte.",ok_prefix_keep_particle_or_punctuation,Martin,Renate,Tobias,Birgit,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende, weil er am frühen Abend aufdringlich war und die Hartnäckigkeit zeigte. ",aufdringlich,3.73,12,56.25,56.25,suboptimal,nonamb
208,swapped,4,4,verärgerte,NP1-Causality,Renate,verärgerte,"Tobias,",weil,sie,am frühen Abend,aufdringlich war,und,Hartnäckigkeit,zeigte,"Renate verärgerte Tobias, weil sie am frühen Abend aufdringlich war und Hartnäckigkeit zeigte.",ok_prefix_keep_particle_or_punctuation,Martin,Renate,Tobias,Birgit,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende, weil er am frühen Abend aufdringlich war und die Hartnäckigkeit zeigte. ",aufdringlich,3.73,12,56.25,56.25,suboptimal,nonamb
209,original,5,4,verärgerte,NP2-Causality,Martin,verärgerte,"Birgit,",weil,sie,am frühen Abend,sensibel war,und,einen Angriff,wahrnahm,"Martin verärgerte Birgit, weil sie am frühen Abend sensibel war und einen Angriff wahrnahm.",ok_prefix_keep_particle_or_punctuation,Martin,Renate,Tobias,Birgit,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende,  weil sie am frühen Abend sensibel war und das Gefühl wahrnahm. ",sensibel,13.76,8,56.25,56.25,suboptimal,nonamb
209,both_male,6,4,verärgerte,NP2-Causality,Martin,verärgerte,"Tobias,",weil,er,am frühen Abend,sensibel war,und,einen Angriff,wahrnahm,"Martin verärgerte Tobias, weil er am frühen Abend sensibel war und einen Angriff wahrnahm.",ok_prefix_keep_particle_or_punctuation,Martin,Renate,Tobias,Birgit,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende,  weil sie am frühen Abend sensibel war und das Gefühl wahrnahm. ",sensibel,13.76,8,56.25,56.25,suboptimal,nonamb
209,both_female,7,4,verärgerte,NP2-Causality,Renate,verärgerte,"Birgit,",weil,sie,am frühen Abend,sensibel war,und,einen Angriff,wahrnahm,"Renate verärgerte Birgit, weil sie am frühen Abend sensibel war und einen Angriff wahrnahm.",ok_prefix_keep_particle_or_punctuation,Martin,Renate,Tobias,Birgit,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende,  weil sie am frühen Abend sensibel war und das Gefühl wahrnahm. ",sensibel,13.76,8,56.25,56.25,suboptimal,nonamb
209,swapped,8,4,verärgerte,NP2-Causality,Renate,verärgerte,"Tobias,",weil,er,am frühen Abend,sensibel war,und,einen Angriff,wahrnahm,"Renate verärgerte Tobias, weil er am frühen Abend sensibel war und einen Angriff wahrnahm.",ok_prefix_keep_particle_or_punctuation,Martin,Renate,Tobias,Birgit,NP1,,,antagonized,StimExp,11,1,-1.36,80,NP1,verärgerte,verärgerte,0.37,10,,"Der Schaffner verärgerte die Reisende,  weil sie am frühen Abend sensibel war und das Gefühl wahrnahm. ",sensibel,13.76,8,56.25,56.25,suboptimal,nonamb
10,original,1,5,bewunderte,NP1-Causality,Paul,bewunderte,"Petra,",weil,er,von Anfang an,verzaubert war,und,die Musik,genoss,"Paul bewunderte Petra, weil er von Anfang an verzaubert war und die Musik genoss.",ok_prefix_keep_particle_or_punctuation,Paul,Maria,Florian,Petra,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil er von Anfang an verzaubert war und die Musik genoss.",überzeugt,41.42,9,50,50,suboptimal,nonamb
10,both_male,2,5,bewunderte,NP1-Causality,Paul,bewunderte,"Florian,",weil,er,von Anfang an,verzaubert war,und,die Musik,genoss,"Paul bewunderte Florian, weil er von Anfang an verzaubert war und die Musik genoss.",ok_prefix_keep_particle_or_punctuation,Paul,Maria,Florian,Petra,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil er von Anfang an verzaubert war und die Musik genoss.",überzeugt,41.42,9,50,50,suboptimal,nonamb
10,both_female,3,5,bewunderte,NP1-Causality,Maria,bewunderte,"Petra,",weil,sie,von Anfang an,verzaubert war,und,die Musik,genoss,"Maria bewunderte Petra, weil sie von Anfang an verzaubert war und die Musik genoss.",ok_prefix_keep_particle_or_punctuation,Paul,Maria,Florian,Petra,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil er von Anfang an verzaubert war und die Musik genoss.",überzeugt,41.42,9,50,50,suboptimal,nonamb
10,swapped,4,5,bewunderte,NP1-Causality,Maria,bewunderte,"Florian,",weil,sie,von Anfang an,verzaubert war,und,die Musik,genoss,"Maria bewunderte Florian, weil sie von Anfang an verzaubert war und die Musik genoss.",ok_prefix_keep_particle_or_punctuation,Paul,Maria,Florian,Petra,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil er von Anfang an verzaubert war und die Musik genoss.",überzeugt,41.42,9,50,50,suboptimal,nonamb
11,original,5,5,bewunderte,NP2-Causality,Paul,bewunderte,"Petra,",weil,sie,von Anfang an,talentiert war,und,Meisterwerke,verfasste,"Paul bewunderte Petra, weil sie von Anfang an talentiert war und Meisterwerke verfasste.",ok_prefix_keep_particle_or_punctuation,Paul,Maria,Florian,Petra,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil sie von Anfang an talentiert war und Meisterwerke verfasste.",talentiert,2.73,10,50,50,suboptimal,nonamb
11,both_male,6,5,bewunderte,NP2-Causality,Paul,bewunderte,"Florian,",weil,er,von Anfang an,talentiert war,und,Meisterwerke,verfasste,"Paul bewunderte Florian, weil er von Anfang an talentiert war und Meisterwerke verfasste.",ok_prefix_keep_particle_or_punctuation,Paul,Maria,Florian,Petra,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil sie von Anfang an talentiert war und Meisterwerke verfasste.",talentiert,2.73,10,50,50,suboptimal,nonamb
11,both_female,7,5,bewunderte,NP2-Causality,Maria,bewunderte,"Petra,",weil,sie,von Anfang an,talentiert war,und,Meisterwerke,verfasste,"Maria bewunderte Petra, weil sie von Anfang an talentiert war und Meisterwerke verfasste.",ok_prefix_keep_particle_or_punctuation,Paul,Maria,Florian,Petra,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil sie von Anfang an talentiert war und Meisterwerke verfasste.",talentiert,2.73,10,50,50,suboptimal,nonamb
11,swapped,8,5,bewunderte,NP2-Causality,Maria,bewunderte,"Florian,",weil,er,von Anfang an,talentiert war,und,Meisterwerke,verfasste,"Maria bewunderte Florian, weil er von Anfang an talentiert war und Meisterwerke verfasste.",ok_prefix_keep_particle_or_punctuation,Paul,Maria,Florian,Petra,NP2,,,admired,ExpStim,7,74,2,-92,NP2,bewunderte,bewunderte,1.17,10,,"Der Liebhaber bewunderte die Komponistin, weil sie von Anfang an talentiert war und Meisterwerke verfasste.",talentiert,2.73,10,50,50,suboptimal,nonamb
32,original,1,6,beklatschte,NP1-Causality,Daniel,beklatschte,"Jana,",weil,er,während der Vorstellung,begeistert war,und,die Bewegungen,verfolgte,"Daniel beklatschte Jana, weil er während der Vorstellung begeistert war und die Bewegungen verfolgte.",ok_prefix_keep_particle_or_punctuation,Daniel,Martina,Karl,Jana,NP2,,,applauded,AgEvo,9,12,1.82,-84,NP2,beklatschte,beklatschte,0.03,11,,"Der Zuschauer beklatschte die Puppenspielerin, weil er am späten Nachmittag begeistert war und das Lob aussprach.",begeistert,34.48,10,37.5,37.5,suboptimal,nonamb
32,both_male,2,6,beklatschte,NP1-Causality,Daniel,beklatschte,"Karl,",weil,er,während der Vorstellung,begeistert war,und,die Bewegungen,verfolgte,"Daniel beklatschte Karl, weil er während der Vorstellung begeistert war und die Bewegungen verfolgte.",ok_prefix_keep_particle_or_punctuation,Daniel,Martina,Karl,Jana,NP2,,,applauded,AgEvo,9,12,1.82,-84,NP2,beklatschte,beklatschte,0.03,11,,"Der Zuschauer beklatschte die Puppenspielerin, weil er am späten Nachmittag begeistert war und das Lob aussprach.",begeistert,34.48,10,37.5,37.5,suboptimal,nonamb
32,both_female,3,6,beklatschte,NP1-Causality,Martina,beklatschte,"Jana,",weil,sie,während der Vorstellung,begeistert war,und,die Bewegungen,verfolgte,"Martina beklatschte Jana, weil sie während der Vorstellung begeistert war und die Bewegungen verfolgte.",ok_prefix_keep_particle_or_punctuation,Daniel,Martina,Karl,Jana,NP2,,,applauded,AgEvo,9,12,1.82,-84,NP2,beklatschte,beklatschte,0.03,11,,"Der Zuschauer beklatschte die Puppenspielerin, weil er am späten Nachmittag begeistert war und das Lob aussprach.",begeistert,34.48,10,37.5,37.5,suboptimal,nonamb
32,swapped,4,6,beklatschte,NP1-Causality,Martina,beklatschte,"Karl,",weil,sie,während der Vorstellung,begeistert war,und,die Bewegungen,verfolgte,"Martina beklatschte Karl, weil sie während der Vorstellung begeistert war und die Bewegungen verfolgte.",ok_prefix_keep_particle_or_punctuation,Daniel,Martina,Karl,Jana,NP2,,,applauded,AgEvo,9,12,1.82,-84,NP2,beklatschte,beklatschte,0.03,11,,"Der Zuschauer beklatschte die Puppenspielerin, weil er am späten Nachmittag begeistert war und das Lob aussprach.",begeistert,34.48,10,37.5,37.5,suboptimal,nonamb
33,original,5,6,beklatschte,NP2-Causality,Daniel,beklatschte,"Jana,",weil,sie,während der Vorstellung,großartig war,und,Kunststücke,vollbrachte,"Daniel beklatschte Jana, weil sie während der Vorstellung großartig war und Kunststücke vollbrachte.",ok_prefix_keep_particle_or_punctuation,Daniel,Martina,Karl,Jana,NP2,,,applauded,AgEvo,9,12,1.82,-84,NP2,beklatschte,beklatschte,0.03,11,,"Der Zuschauer beklatschte die Puppenspielerin, weil sie am späten Nachmittag großartig war und das Kunststück vollbrachte.",großartig,19.01,10,37.5,37.5,suboptimal,nonamb
33,both_male,6,6,beklatschte,NP2-Causality,Daniel,beklatschte,"Karl,",weil,er,während der Vorstellung,großartig war,und,Kunststücke,vollbrachte,"Daniel beklatschte Karl, weil er während der Vorstellung großartig war und Kunststücke vollbrachte.",ok_prefix_keep_particle_or_punctuation,Daniel,Martina,Karl,Jana,NP2,,,applauded,AgEvo,9,12,1.82,-84,NP2,beklatschte,beklatschte,0.03,11,,"Der Zuschauer beklatschte die Puppenspielerin, weil sie am späten Nachmittag großartig war und das Kunststück vollbrachte.",großartig,19.01,10,37.5,37.5,suboptimal,nonamb
33,both_female,7,6,beklatschte,NP2-Causality,Martina,beklatschte,"Jana,",weil,sie,während der Vorstellung,großartig war,und,Kunststücke,vollbrachte,"Martina beklatschte Jana, weil sie während der Vorstellung großartig war und Kunststücke vollbrachte.",ok_prefix_keep_particle_or_punctuation,Daniel,Martina,Karl,Jana,NP2,,,applauded,AgEvo,9,12,1.82,-84,NP2,beklatschte,beklatschte,0.03,11,,"Der Zuschauer beklatschte die Puppenspielerin, weil sie am späten Nachmittag großartig war und das Kunststück vollbrachte.",großartig,19.01,10,37.5,37.5,suboptimal,nonamb
